Stations,No outcome counts
Greater Manchester Police,14
City of London Police,6635
Cumbria Constabulary,28540
Suffolk Constabulary,35999
Warwickshire Police,45909
Bedfordshire Police,46394
Norfolk Constabulary,47665
Leicestershire Police,52675
Cambridgeshire Constabulary,53965
Wiltshire Police,56529
Lincolnshire Police,60389
Humberside Police,62320
Northamptonshire Police,62520
Dyfed-Powys Police,64524
Dorset Police,73904
Cheshire Constabulary,75494
North Wales Police,76446
Gloucestershire Constabulary,78871
Durham Constabulary,80104
Cleveland Police,80736
Surrey Police,85666
Gwent Police,93001
Hertfordshire Constabulary,101168
Staffordshire Police,102952
North Yorkshire Police,103355
Merseyside Police,103917
Derbyshire Constabulary,114566
Nottinghamshire Police,115254
South Yorkshire Police,119002
South Wales Police,133131
British Transport Police,138952
West Mercia Police,140191
Essex Police,140793
Kent Police,144738
Hampshire Constabulary,145647
Thames Valley Police,149254
Sussex Police,152980
West Midlands Police,179025
West Yorkshire Police,181399
Devon & Cornwall Police,182289
Avon and Somerset Constabulary,293141
Lancashire Constabulary,296200
Northumbria Police,327302
Police Service of Northern Ireland,485185
Metropolitan Police Service,1423736
